address,tokens
Upbit Staking,367907952
Coinbase,297508820
Binance Node,254559475
Luganodes,228250054
Matic Power,207775051
Twinstake,206725636
Anonymous 93,167944844
Web3Nodes Validator 🌎 0% fee,167605625
Kraken,137453779
Anonymous 94,135681315
Kiln x Ownest 🔸 Pro Staking 🔸,130369002
Anonymous 91,99929798
Figment,97988648
Everstake 0% fee,86656283
Stakin,79612394
Vault Staking,78238402
P2P.org 0% Fee,76498043
Allnodes ⚡️ 0% fee,63407022
Girnaar Nodes,59197378
Blockdaemon,48467568
TruFin,41835621
Staking4all - 0% fee,41274679
StakePool,36062259
Anonymous 92,30213758
Matrix Stake,24070883
Abyss Finance 🔥 0% fee,14822428
SelfLiquidity,9508989
🐠 stake.fish,8734947
Supermoon,7880410
Blue Ocean,7556779
The Abyss (0% commission),7333587
LinkPool,7302788
Meria,6771052
Nobi,5992084
Prometheus Pool,5282616
Valis Labs,4864424
Making.cash,4722795
algo | stake,4677270
CheckBit 0% fee,4487315
Fahrenheit ❄️ 0%,4442593
stakeFi Network,4079936
Smart Stake 📈📊,3578685
Stake.Works,3558654
BCW Technologies,3024464
Infosys,2785786
Rasputin,2748161
Validatrium,2650383
Atlas Staking,2647735
Smartpay Validator,2517461
Perfect Stake 🥩,2476040
HashKey Cloud,2159002
Chorus One,2123692
Vader 73,2013958
bountyblok,1997042
vido.info,1993571
Vitwit,1987942
VC Capital,1910522
PolygonGo,1879175
EMC2 Node,1871345
Mantra Chain,1814968
Wetez,1722004
SenseiNode,1695175
SolidStake,1687046
AnkrValidator,1600276
Sakura Foundation,1594554
Sentinel Stake,1551383
Ledger by Meria,1525063
Validator for Sale,1296278
Blocks United,1259622
PathrockNetwork,1204578
DeFiMatic,1202490
StakeCraft 🔥 0% Fee,1030471
Deepheat,1029199
Blocksize,1026251
Tessellated,1017063
Newroad Network,1003445
Streamr,897921
Coinstash,874714
Fierydev-MCLB,871522
Data Nexus,801934
Pentagon Chain,736659
Shard Labs,578656
Matic Friends,362582
FreshSTAKING,342623
Pentagon Games,333498
Simply Staking,275926
Stake Capital,266016
RockX,258023
Cryptonomicon,247682
Blockops,237440
Northstake,218674
Orion by Atlas Staking,218535
Mind Heart Soul,203876
kytzu (closing... please unbond),172425
NodeOps,146841
DSRV,123645
Zero Hash,116061
Google Cloud,107074
Forbole,94433
Pier Two,50694
[NODERS],49908
Anonymous 95,29047
Matrixed.Link,18569
