address,tokens
Mysten-1,211610648959722513
Mysten-2,196353981476945236
Galaxy Digital,163482827046293495
Luganodes,153201937176969908
Aftermath,151398382524846095
Suilend,145100937379496198
Coinbase,139085927685685627
DSRV,134886131204477871
Overclock,130759706458744119
Blockscope.net,125939962814425427
Figment,125487966656685231
BartestneT,122533502966154731
Chainode Tech,119261822406968804
Chorus One,118503947835509289
RepublicCrypto,116939240252082364
Durian,115655046626525389
Persimmon,115653651069930841
n1stake,112698905983837599
Staketab,110307272157495574
BlockVision,109104760432592090
Triton One,104646525760806750
mrgn,103837563728664500
Everstake,96145650581753432
Blockdaemon,95629478100774916
P2P.ORG,91893307404408646
Moonlet,86803515233659698
Ahoy Validator,86077364091021782
Cosmostation,85781169025040768
Staking Defense League,85635570494649606
KiligLab,83399220036242506
ContributionDAO,83022188318053252
Alchemy,80384513689076682
Coinage x DAIC,80220304446882848
Artifact,80160273606271812
Nodeinfra,79231129288409511
Kraken,79189419723798128
Stardust Staking,78928411471776105
TPT,77910784767024730
OKXEarn,77510210302753825
P-OPS Team,76433317419013425
TrustedPoint,75884355740296972
ChainIDE,75391754664200493
LumiWave,74123080086104407
Kiln,70732740012036201
HEEBOO,66533383381579848
Ankr,65755005692018594
01node,65495104495496684
Swyke,65399081361166315
StakingCabin,65258701948919929
Chainflow,64228659042805888
Laine,63694835194883217
Staking Facilities,62959958776842033
Stakin,61875676674522690
Citadel.one,57626750657792517
ORBR,56944840456242577
HashedPotatoes,55857324053279507
Anchorage Digital-2,54301979125430199
Haedal Protocol,52716925484304225
Studio Mirai,51365332611610180
Scale3Labs,45909301041063710
Shinlabs,45157581562696707
Allnodes,44371299654694789
Cetus,44136138079123537
AlphaFi,43137499979649260
NAVI Protocol,40922598018310826
Nelrann,40869899984731508
Nansen | Stake to Stack Points,39536122861354653
H2O Nodes,38537665534229852
Nodes.Guru,38179357736498433
Astro-Stakers,38108771405008203
proofgroup,37778117298183160
Imperator.co,37732856575995964
B-Harvest,37584049379264636
SynergyNodes,37563451284182646
SyncNode,35461950402082467
Obelisk,35254440804927618
Interest Labs,35241388473239602
Suiet,34472779717623932
Kriya Validator,33928662296829919
Chainbase Staking,33747366705291032
Ika,33245757506064700
Anchorage Digital-1,32705736127572024
Brightlystake,32528986849945228
Sentio,32447053100769194
Ledger by P2P.ORG,32227829553464841
Karrier One,32208939901384969
Cogent Crypto,31905811409433249
Stakely,31088226051933281
Surf,30876372392336770
Bucket Protocol,30419332296025640
Asymmetric Research,30200758902211680
Hinode Technologies,29923997912967013
Omnistake,29852124914870198
HashKey Cloud,29105531928633565
ProStaking,29041216947098332
QuantNode,28995245929107202
BLRD,28994661837199541
A41,28960991246127770
TDMTech,28775279346873957
iBriz.ai,28757365930055664
XPRV,28319469547004864
Latitude.sh,27873786147079356
Forbole,27509093904929645
GiveRep,27109351933194958
Cypher Capital,27041888032755780
[NODERS] x Talentum,25993091877667666
Swiss Staking,25765995231423080
hoh.zone,25556846518692539
stakefish,24875065435428364
MIDL.dev,24516217325909915
Peeranha,23651731543819848
Neuler,23522559313025794
ZKV,22565281283107548
SenseiNode,21672399050277449
BiXinKelePool,17204006581745950
Node Guardians,16019017353493191
DoubleUp,16001100046066578
FP Validated,15064980224790084
Scallop,14990971464825384
Encapsulate,14048700600232899
InfStones,13682977573735006
TenX Protocols,3133494449536120
