address,tokens
bitcoinsuisse.com,26715562455763
Finoa Consensus Services,24542965523182
P-OPS Team,24076919892876
BinanceNode,19563427694074
Chorus One,18669407741683
P2P.org 💙,17754267024662
Qubelabs,16201845879928
Figment,11948319632181
Cosmostation,10079186594658
Keplr,8995561243874
Anchorage Digital,8018189927569
Upnode,7380702519313
Staking Facilities,7244546460641
Hex Trust,7040375166393
Binary Builders,7025019079340
CUCK.,6635189776660
Kiln,6510461749112
Everstake,6383147265058
IYKYK,6159326642961
DSRV,6045741344924
Coinbase,6032318378427
T DATA,6025347894553
01node,5978018210909
ContributionDAO,5816125448258
Cumulo,5755728498043
Tane,5500387990515
TTT VN,5500377423804
KYVE Public Good Funding,5500173176751
node101,5500120840521
Nansen | Stake to Stack Points,5459614218603
GalaxyDigital,5142156482483
senggigi,5122918542873
Goose,5000425451970
Nocturnal Labs,4956540861431
Kraken,4790542154424
XPRV,4200099777595
NodeStake,3942022949106
Informal Systems,3917920628674
Validatus,3808005289226
Stakely.io,3776921546106
Stakecito,3682272020891
Stakin,3620775074394
Easy 2 Stake,3557721243264
Nodes.Guru,3431400718292
Enigma,3403294204736
B-Harvest,3396704847792
 kjnodes.com 🦄,3355010059841
Alchemy,3328531737521
ZKV,3192111257598
wavefive,3130978182786
Stake🦑Squid,3121958212335
Smart Stake 📈📊,3051459513886
itrocket,3041101375229
STAKEME,3036674560572
CroutonDigital,3033715045481
alphab.ai,3032893885324
StakeTown,3012970305100
Kairos Research X Firstset,3012061908002
LuckyResearch Labs,3010243324592
deNodes,3004204402710
F5 Nodes,3000981199339
CosmoWiz,3000854986056
mammoth.guru,3000481852740
Cosmic Validator,3000427806632
CHAIN DIGITAL,3000220695917
bitszn,3000204987746
ECAD Infra,3000116091818
21state,3000113211100
StakeUs,3000110846915
Neoprom,3000059084290
quantumcore,3000055810000
Endorphine Stake,3000003020000
ChainTrails Team | 🛠️,3000001020000
DTEAM,3000001000000
POSTHUMAN 🧬 StakeDrop,2512238133051
VALIDEXIS,2500148703447
Imperator.co,2376732621155
AI,2320392088814
Swiss Staking,2215622162585
Blockdaemon,2088347694576
Go,1908388234842
Colossus,1785109155824
polkachu.com,1735078726627
Allnodes,1382791190780
PRYZM | StakeDrop,1361366993234
LatamNodes,1287144161081
BlackBlocks,1280464239438
ValiDAO,1214711212159
Larry Engineer,1177351554781
strangelove,1134628092229
w3.labs,1100270177497
NakoTurk,1017501934819
project blanc,1000193997434
ttechvalidator,1000189248768
iqlusion,950931105038
 Lavender.Five Nodes 🐝,761346025675
Twinstake,683936827050
StakeLab.zone,444143062894
FreshSTAKING,404572064484
Node Guardians,358823255316
✅ CryptoCrew Validators,334847863146
StakingCabin,305299476805
Brightlystake,161238035732
"Frens (🤝,🤝)",147745003655
Staker Space,100385479156
Astria,63511795600
Lemniscap,61264080494
<decommissioned>,43168963341
Bodhi Ventures,43001000000
Please Redelegate to The New node101 Validator,42166291708
"[Sunsetting, please redelegate] | Forbole",38827877192
PLEASE REDELEGATE TO THE NEW DTEAM VALIDATOR,36555336094
PLEASE REDELEGATE - CLOSING | ChainodeTech,24329758526
MZONDER,20216169410
Meria,17287394740
<decommissioned>,12047839583
Conqueror,11296515248
Staking4All,10541495048
Gunter,10274363482
kooltek68,9634507849
[NODERS],9445040250
W3.Hitchhiker,8824546652
Moonlet,8556258865
BitNordic,8265570930
PartnerStaking | Timeworx.io Airdrop,7338607295
0xFury,6942091293
Anonymous,5830447567
spidey,5752334838
counterpoint,5733382714
Encapsulate (fka KingSuper),5642721072
KEK,5275393317
Please Redelegate,5150482810
Active Nodes,3781633513
 Blockscope.net,3164531604
Validatrium. Inactive - redelegate please,2658403552
<Dora Factory decommissioned>,2346740769
UNBONDING - PLEASE REDELEGATE,2311444315
Maple Nodes,2129973704
MH Ventures,1857509631
<decommissioned>,1853838108
MyStake,1704355601
Neuler,1383669504
TrustedPoint,1368229525
Suntzu,1255791046
Witval,1246071325
Crosnest,1225598954
<decommissioned>,1195881165
KalpaTech,1061318771
Decentrio,1059842217
Notional,515956867
Neoprom,434385010
BlackNodes,394950331
SG-1,371864130
LowFeeValidation,347783458
AM Solutions 🪐,306399314
 AutoStake 🛡️ Slash Protected,297595332
quantumcore,269326015
Please redelegate,228722339
nysa.network,218541289
Inactive,211902551
<decommissioned>,193332509
Earthbender,183441795
HFA X Defi Dojo Validation,78764720
<decommissioned>,73239667
openbitlab,55913986
 Silk Nodes,55000000
[Please redelegate],50349881
vortexray,50010812
INACTIVE,48545934
Stakeflow,27882373
Anonstake,22368374
ECO Stake 🌱,16038689
GPvalidator,15264838
Kraymerica,15000000
Cosmos Spaces,14610886
0base.vc,11662808
Tessellated,11631813
StakePool,11010922
StakeCapital,10043124
BlockHunters 🎯,10040450
Celestine Sloth Society,10000000
Bro_n_Bro,9045640
Architect Nodes,9028757
AiNodes,8000000
Inactive,7000000
AndromedaPool,6624079
please Redelegate,6336540
Huginn,6310594
OmniFlix Network,6043704
Ubik Capital,6011130
NacionCrypto - Parceros,5782894
openstake.net,5032923
Deleted,4259562
  Oni ⛩️,3041706
Kleomedes,3025752
Quadro_Network,2870531
Inter Blockchain Services,2582591
,2312083
BloClick,2210619
NodeX Emperor ⚡ Celestia,2129503
𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,2058770
EU,2009567
Tané,2000000
Inno Swap - DELEGATE FOR AIRDROP,1831392
Clorophilla,1701100
KubikStaking,1643402
0% EU Fast Validator,1547079
cryptech,1305294
Luganodes,1275545
Sr20de,1110957
NachoNode,1073568
WexclaW,1066576
Avril14th,1059598
Chocodiva,1059385
Stake&Relax 🦥,1057047
AviaStake,1056591
na,1047471
Booga Beras,1045641
Equinox,1045133
OKX Earn,1043800
GPvalidator,1041951
silent,1041413
Pro-Nodes75,1028202
Please Redelegate,1027828
Kaizoku Labs,1027744
Brick,1027488
DXN,1027480
cosmosrescue,1026034
IcyCRO 🧊,1024282
Nodiums,1024081
Madrona,1020307
Chainflow,1019837
RockX,1011547
ValidatorVN,1011141
MAHOF,1010757
Synergy Nodes,1010720
PathrockNetwork,1010624
PowerStaking,1000586
Wave,1000529
owlstake,1000000
Inotel,1000000
LiveRaveN,1000000
🔥STAVR🔥,1000000
YOUR_MONIKER_NAME,1000000
YOUR_MONIKER_NAME,1000000
Node39.TOP,1000000
BonyNode💚,1000000
interchain.FM🥩,1000000
Nodes Hub 🛡️ 100% Slash Protected 🛡️,1000000
Calypso,1000000
MegaNode,1000000
test,1000000
Artifact,647029
jabbey,616094
vega17,508069
iCosmosDAO,240178
InfStones,229427
Multiplex,142828
AVIAONE 🟢,136223
securesecrets,69199
ian-test,40213
CC,29328
Deactivated,26168
cryptonodes,24151
this_is_moniker,21675
QuantumQuasar,0
MrCoco,0
TiaRocketKC,0
themanuello_moniker,0
BitGo,0
Stake.Works | Celestia,0
AiC DAO,0
SquallNetwork,0
danku_zone w/ DAIC,0
